NAME,LABEL,Z
ZTF23aaclqtq,SN II,0.019
ZTF23aabtfho,SN Ia,0.028135
ZTF23aabtgej,SN Ia,0.006698
ZTF22abzkgja,SN Ia,0.015461
ZTF23aadtqlt,SN Ia,0.02
ZTF23aadbzqx,SN Ia,0.035568
ZTF23aadcgak,SN II,0.01
ZTF23aadbzfq,SN II,-1.0
ZTF23aaczpmh,SN Ia,0.049986
ZTF22abunrdy,SN II,0.02128
ZTF18abzqsxk,SN Ia,0.031
ZTF22abyjfgt,SN Ia,0.024
ZTF23aacydwa,SN II,0.014
ZTF22abtsypf,SN IIn,0.135
ZTF23aaclyrt,SN Ia,0.05
ZTF23aaarvxj,SLSN-I,0.39
ZTF23aadjssg,SN Ia-91T-like,0.045
ZTF23aacfiuv,SN Ia,0.016905
ZTF23aabksje,SN II,0.0116
ZTF23aaazegi,SN Ia-CSM,0.185
ZTF23aadbait,SN Ia,0.01431
ZTF23aacxofz,SN Ia,0.066
ZTF18aabkvpi,TDE,-1.0
ZTF23aaavxye,SN IIP,0.0318
ZTF22abtspsw,SN II,0.004908
ZTF23aabnyfa,SN II,0.054427
ZTF23aacosic,SN Ia,0.069
ZTF23aabsice,SN Ia,0.021908
ZTF18aadsuxd,SN II,0.03057
ZTF22abzgbtq,SN IIn,0.08
ZTF23aabmbdj,SN Ia,0.041
ZTF23aabngtm,SN II,-1.0
ZTF22abhwlnm,SN IIn,0.114
ZTF23aabrsdd,SN Ia,0.065
ZTF22abqwahz,SN Ia,0.049384
ZTF22abqdmwt,SN Ia,0.065
ZTF22abqbqty,SN II,0.051
ZTF22abmxsoc,SN Ic,0.014
ZTF22abmsaxp,SN II,0.013403
ZTF23aaavyag,SN IIn,0.182
ZTF23aackdlm,SN Ia,0.045
ZTF23aaahuzb,SN Ia,0.054
ZTF23aaabpao,SN II,0.05
ZTF18aaiwzie,SN Ia,0.086
ZTF23aaawbre,SN Ic,0.031
ZTF22abynlvk,SN Ia-91T-like,0.08
ZTF22abtsybt,SN II,0.0386
ZTF22abjzweh,SN II,0.13415
ZTF23aacdkme,SN Ia,0.039963
ZTF18aayiono,SN Ia,0.065113
ZTF21aaltbzp,AGN,0.078
ZTF23aabwfkc,SN Ia,0.039213
ZTF23aabbrdb,SN II,0.03
ZTF23aaazffe,SN Ic,0.04
ZTF23aabrftw,SN Ia,0.032
ZTF22abtmrfr,SN II,0.017522
ZTF23aabsicf,SN Ia,0.015
ZTF23aaafclb,SN Ia,0.0423
ZTF23aaatrek,SN Ia,0.061
ZTF23aaawixk,SN Ia,0.06
ZTF23aaalcjc,SN Ia,0.05063
ZTF23aabasoe,SN Ia,0.06
ZTF23aaazdla,SN II,0.015
ZTF23aaajcbm,SN Ia,0.06
ZTF23aaaknoj,SN Ia,0.056
ZTF23aaabctl,SN Ia,0.067
ZTF23aaabcgx,SN Ia,0.04
ZTF23aaaahln,SN Ia,0.022
ZTF18aclgopa,AGN,0.05
ZTF23aabmevr,SN Ia,0.039
ZTF23aabbsdi,SN Ia,0.039
ZTF23aaashjq,SN Ia,0.075
ZTF22abxlqol,SN II,0.026235
ZTF23aaarwbd,SN IIn,0.05
ZTF23aaarwea,SN Ia,0.052
ZTF22abxsghc,SLSN-II,0.316
ZTF22abzdzek,SN II,0.027
ZTF22abyokkf,SN II,0.021728
ZTF23aaavxzf,SN Ia,0.073
ZTF23aaawbmy,SN Ia,0.064
ZTF23aaagteq,SN Ia,0.012609
ZTF23aaahmyn,SN Ia,0.0429
ZTF19adgooar,SN II,0.0202
ZTF18aamzgzi,SN Ia,0.0179
ZTF23aaawcvx,SN Ia,0.03
ZTF23aabctje,SN IIP,0.045911
ZTF23aaaprnb,SN Ia,0.018133
ZTF23aaajtqn,SN Ia,0.06
ZTF22abyuxlw,SN Ia,0.039
ZTF22abunjts,SN Ia-91bg-like,0.027214
ZTF23aaagncz,SN Ia,0.0319
ZTF22abvarjh,SLSN-I,0.42
ZTF22abwuaru,SN Ia,0.051
ZTF18aasyjhd,SN II,0.143
ZTF23aaatixf,SN Ia,0.047
ZTF23aaahuzf,SN Ia,0.049
ZTF22acahury,SN II,0.023293
ZTF22abytupz,SN Ia,0.06
ZTF22abyszwg,SN Ia,0.0184
ZTF20acwflza,SN II,0.035
ZTF23aaaqdcr,SN Ia,0.041
ZTF23aaahuzc,SN Ia,0.081
ZTF22abyxnrr,SN Ia,0.03
ZTF23aaaehem,SN Ia,0.029
ZTF20aclddpv,SN Ia,0.036
ZTF23aaajtan,SN Ia,0.04
ZTF23aaakutq,SN Ia,0.071
ZTF23aaakoaa,SN Ia,0.034867
ZTF23aaabeyy,SN Ia,0.039
ZTF22acahbko,SN II,0.03
ZTF22abnfgcn,SN Ia,0.04
ZTF23aaaizts,SN Ia,0.09
ZTF23aaanxbm,CV,-1.0
ZTF22abtknum,SN Ia,0.003309
ZTF22abyoczz,SN IIb,0.027
ZTF22aauerwh,SN Ia-CSM,0.213
ZTF22acadszu,SN Ia,0.058
ZTF22abtcpig,SN IIn,0.063
ZTF23aaaigqy,SN II,0.016438
ZTF22abynkpz,SLSN-I,0.292
ZTF22abtpejn,SN Ia,0.027619
ZTF23aaaihae,SN Ia,0.038
ZTF23aaaalsf,SN Ia,0.05
ZTF22abzhahz,SN Ia,0.059226
ZTF22abystdy,SN Ia,0.088
ZTF22abyjttn,SN Ia,0.043761
ZTF22abvaggn,SN Ia,0.044
ZTF22abtybkh,SN Ia,0.043
ZTF22abtjefa,SN II,0.01
ZTF22abssiet,SN II,0.01449
ZTF23aaaaxuq,SN Ia,0.056
ZTF23aaaifls,SN II,0.01368
ZTF23aaaahhb,SN II,0.0146
ZTF22abtcsyd,SN II,0.026
ZTF22abyrlaw,SN Ia,0.03
ZTF22abysshb,SN II,0.033
ZTF22abquwiv,SN Ia,0.044
ZTF23aaaatee,SN Ia,0.0194
ZTF23aaaboss,SN Ia,0.046
ZTF22abvcnnl,SLSN-I,0.13
ZTF22abxltfq,SN IIn,0.07
ZTF22acaucqb,SN Ia,0.038
ZTF22abyivxh,SN II,0.03029
ZTF22acablwr,SN Ia,0.0425
ZTF22abyivoq,SN II,0.005264
ZTF22abyergl,SN Ia,0.049
ZTF22abqkzuq,SN Ia,0.022
ZTF22abrpjxu,Nova,0.0015
ZTF22abytwjj,SN Ib/c,0.01447
ZTF22abtsttg,SN II,0.071
ZTF22aabimec,TDE-H-He,0.148
ZTF22acaexru,SN II,0.01
ZTF22abyokjo,SN Ia,0.068
ZTF22abyiisu,SN II,0.031732
ZTF22abvngdr,SLSN-I,0.308
ZTF22abyrqec,SN Ia,0.072
ZTF22abyknqs,SN Ia,0.054
ZTF22abyjewt,SN Ia,0.032524
ZTF22abyskhb,SN Ia,0.08
ZTF22abyhvtk,SN Ia,0.061
ZTF22abynpmq,SN Ia,0.082
ZTF22abyrovo,SN Ia,0.041
ZTF22abyngnw,SN Ia,0.042716
ZTF22abykjae,SN Ia,0.066
ZTF22abwmnow,SN Ia,0.025
ZTF22abvcdmu,SN II,0.0424
ZTF18abzzkyg,SN Ia,0.085
ZTF22abtslvh,SN Ia,0.080009
ZTF22ablxcrh,SN Ia-CSM,0.14
ZTF20aahmtso,TDE,0.028
ZTF22abynjkd,SN Ia,0.0416299999
ZTF22abxonqa,SN Ia,0.006
ZTF22absphuu,SN Ib,0.0425
ZTF22absdier,SN Ia,0.1
ZTF22abscvex,SN Ia,0.061
ZTF22abnmpty,SN Ia,0.075
ZTF22abngjlt,SN Ia,0.05
ZTF22abmiuan,SN Ia-91T-like,0.13
ZTF22abkabeh,SN Ib,0.028
ZTF22abilaka,SN Ia,0.096
ZTF22abylryw,SN Ia,0.06
ZTF22abyhxlj,SN Ia,0.058
ZTF22abueufz,SN Ia,0.07651
ZTF21abxnjeg,SN Ia,0.062
ZTF22abghgca,SN Ia,0.038
ZTF22abybbud,SN II,0.013343
ZTF22abvaxqi,SN II,0.036
ZTF22abtctfn,SN Ia,0.026807
ZTF22abtbijr,SN Ia,0.0349749997
ZTF22abyjtmn,SN Ia,0.03
ZTF22abyaood,SN Ia,0.04873
ZTF22abwvcwq,SN Ia,0.089
ZTF22abrahwy,SN IIb,0.0065
ZTF22absmrdt,SN Ia,0.003
ZTF22abvkkgu,SN Ia,0.037573
ZTF22abykahf,SN Ia,0.024
ZTF22abxmdxh,SN Ia,0.0495
ZTF22abxkfjy,SN Ia,0.091
ZTF22abybwdz,SN Ia,0.023
ZTF22abxsocn,SN Ia,0.064
ZTF22abvnonf,SN Ia,0.093
ZTF22abwlapx,SN Ia,0.11
ZTF22abrcivs,SN Ia,0.033
ZTF22abmxtqr,SN Ia,0.11
ZTF22abmpqbq,SN Ia,0.061
ZTF22abmolve,SN Ia,0.066
ZTF22abivebe,SN Ic-BL,0.0445
ZTF22abexkqi,SN Ib,0.1087
ZTF22absxaxv,SN Ia,0.07
ZTF22aboloxt,SN II,0.08
ZTF22ablbgrl,SN Ia,0.0478
ZTF22abhhxuv,SN II,0.0453479
ZTF22abvpklt,SN Ia,0.061
ZTF22abteetl,SN Ia,0.09
ZTF22abtprtn,SN Ia-pec,0.04
ZTF22abtnuch,SN Ia,0.097
ZTF22abgveih,SN II,0.0081
ZTF22abuygtu,SN Ia,0.059
ZTF22abnwvyc,Other,-1.0
ZTF22absxatm,SN Ia,0.047266
ZTF22absqvgm,SN Ia,0.095
ZTF22abkbmob,SLSN-I,0.31
ZTF22abfavpu,SN II,0.0174
ZTF22abwqedu,SN Ia,0.086
ZTF22abvuybj,SN Ia,0.069462
ZTF22abtomri,SN II,0.04
ZTF22abtootl,SN Ia,0.072683
ZTF22abtkkgo,SN Ia,0.067
ZTF22abvmasw,SN II,0.03051
ZTF22abtvkgk,SN Ia,0.057
ZTF22abuhfdv,SN Ia,0.0496
ZTF22abvrtgj,SN Ia,0.055
ZTF22abtcyos,SN Ia,0.072
ZTF22abrboyl,SN Ia,0.049
ZTF22abpyder,SN Iax[02cx-like],0.023
ZTF22abulusd,SN II,0.017
ZTF22abuslkt,SN Ia,0.082
ZTF22abtvgfs,SN Ia,0.089
ZTF22abulmbx,SN Ia,0.077313
ZTF22abttupc,SN Ia,0.086
ZTF22abubrek,SN Ia-91T-like,0.0832
ZTF22abmfmng,SN Ia,0.076102
ZTF22abfyvhf,SN IIn,0.079
ZTF22abswuoz,SN Ia,0.07
ZTF22abqqepp,SN Ia,0.062
ZTF22abkwdhr,SN Ia,0.083
ZTF22abvasuw,SN Ia,0.041
ZTF22abvebdc,SN Ia,0.08
ZTF22abtdoxf,SN Ia,0.063
ZTF22abtcsar,SN Ia-91bg-like,0.019323
ZTF22abieqzx,SN I,0.0537
ZTF22abinbxm,SN IIP,0.032276
ZTF22abgbhjs,SN II,0.0390830003
ZTF22abfwihc,SN Ia-91bg-like,0.052
ZTF19aamuxso,SN Ia,0.08
ZTF19aalzwcr,SN Ia,0.1
ZTF22abtciik,SN Ia,0.061645
ZTF22abtfczg,SN II,0.025
ZTF22abnmpwx,SN Ia,0.06518
ZTF22abveefy,SN Ia,0.044
ZTF22abszapf,SN Ia,0.086
ZTF22absqxti,SN Ia,0.06
ZTF22absygcs,SN Ia-91T-like,0.06
ZTF18acegjxo,CV,-1.0
ZTF22abtltcw,Nova,0.00017
ZTF22abtctvo,SN Ia,0.044
ZTF22absxxub,SN Ia,0.076
ZTF22absstju,SN Ia,0.055
ZTF22abrreei,SN Ia,0.065
ZTF22abrbpyh,SN Ia,0.042696
ZTF22abnoofs,SN Ia,0.03
ZTF22abkfhua,TDE,0.049
ZTF22abvasxc,SN Ia,0.05
ZTF22abtlaew,SN Ia,0.074
ZTF22abgteub,SN Ia,0.051
ZTF22abswuyy,SN Ia,0.052
ZTF22absqpsa,SN Ia,0.062
ZTF22absiyyk,SN Ia,0.058
ZTF22abteujl,SN II,0.033
ZTF22abtdarf,SN Ia,0.028823
ZTF22abspgzy,SN Ia,0.073
ZTF22abpzyzz,SN Ia,0.0764
ZTF22abtokxg,SN Ia,0.055
ZTF22abtextj,SN Ia,0.045
ZTF22abteqxm,CV,-1.0
ZTF22abreusl,SN Ia,0.066
ZTF22absphlp,SN Ia,0.093
ZTF22abtegkn,CV,0.0
ZTF22abtjcbg,SN Ia,0.082
ZTF22ablviyf,SN Ia,0.076
ZTF22abtekni,SN Ia,0.04
ZTF22abswzyp,SN Ia,0.076
ZTF22abqpflu,SN Ia,0.066
ZTF22abqyiaa,SN Ia,0.091
ZTF22abqrdqq,SN Ia,0.064
ZTF22abqpxyn,SN Ia,0.042
ZTF22abqiyik,SN Ia,0.089
ZTF22abqaqnn,SN II,0.028797
ZTF18aarnbhk,SN Ia,0.064
ZTF22abpusrt,SN Ia,0.085
ZTF22abizuah,SN IIn,0.0935
ZTF18acqnzso,SN Ia,0.058749
ZTF22abrborz,SN Ia,0.06
ZTF22abrredj,SN Ia,0.059323
ZTF22abqqjih,SN Ia,0.027
ZTF22abppdqh,SN Ia,0.075
ZTF22abnlwjv,SN Ia,0.042
ZTF22abmjdfo,SN Ia,0.055
ZTF22abptwul,SN Ia,0.11
ZTF22abebxpb,QSO,2.243
ZTF22abqseiq,SN IIn,0.028
ZTF22abnqzle,SN Ia,0.07
ZTF22abfwign,SN II,0.0548
ZTF22abgawhn,SN Ia,0.032
ZTF22abfnfud,SN IIn,0.034
ZTF22aazbxmi,SN IIn,0.058
ZTF22abqbljk,SN Ia,0.0198
ZTF22abobhmn,SN Ia,0.065
ZTF22abjrpmv,SN Ia,0.055
ZTF22abrexqa,SN II,0.0122
ZTF22abobobs,SN Ia,0.059
ZTF22abqajav,SN Ia-91T-like,0.023606
ZTF22aboisvs,SN Ia,0.05
ZTF22abpulqo,SN Ia,0.055
ZTF22abjrcte,SN Ia,0.0335
ZTF22abegjtx,TDE,0.054
ZTF22abeyzcl,SN IIn,0.052
ZTF22abiupzw,SN IIn,0.024935
ZTF22abhuvqj,SN II,0.03
ZTF22abfuoce,SN Ia,0.058
ZTF18aaceepu,SN Ia,0.0407759994
ZTF22abgbhub,SN Ia,0.0193189997
ZTF22abfwchw,SN II,0.07
ZTF22abkpgpa,SN Ia,0.0152
ZTF22abolsys,SN Ia,0.084
ZTF22abnxoji,SN Ia,0.11
ZTF22aboawxv,SN Iax[02cx-like],0.002695
ZTF22abgwgsv,SN II,0.0217
ZTF22abbozja,SN Ia,0.03
ZTF22abmygmc,SN Ia-91T-like,0.0237
ZTF22abnuakd,SN Ia,0.062
ZTF22abnqomh,SN Ia,0.024931
ZTF22abnxovx,SN Ia-91T-like,0.1
ZTF22abmwonm,SN Ia,0.064
ZTF22abewydn,CV,-1.0
ZTF22abpyjrz,CV,-1.0
ZTF22abniami,SN Ia,0.071
ZTF22abqxkhd,SN Ia,0.0078
ZTF22abodqjf,SN Ia,0.063
ZTF22abexepc,AGN,0.23
ZTF22abnvmzz,SN Ia,0.07
ZTF22abneima,SN Ia,0.08
ZTF22abmynyd,SN Ia,0.05
ZTF22abmcnmz,SN Ia,0.027
ZTF22aboapcj,SN Ia-91T-like,0.077
ZTF17aabtvsy,SN Ia,0.069222
ZTF22abnemvx,SN Ia,0.063
ZTF22ablnvbh,SN Ia,0.098
ZTF22abkybyq,SN Ia,0.072
ZTF22abhsrll,SN Ia,0.04
ZTF22abggmae,SN Ia,0.046
ZTF22abembaz,SN Ia,0.0684
ZTF22aawfeov,SN IIn,0.06
ZTF22aboaiim,SN Ia,0.07
ZTF22abnejmu,SN II,0.01
ZTF22abmucza,SN Ia,0.06
ZTF22abnehge,SN Ia-91T-like,0.08591
ZTF22abmmvxz,SN Ia,0.024
ZTF22abmnhau,SN Ia,0.059
ZTF22abkhrkd,SN II,0.0177
ZTF22abivqkc,SN II-pec,0.02
ZTF22abhyzjq,SN Ia,0.09
ZTF22abgawlh,SN Ia,0.05
ZTF22abfzaed,SN Ia,0.01
ZTF22abegteh,SN Ia,0.042
ZTF22abajudi,TDE,0.032
ZTF22abntdem,SN Ia,0.05
ZTF22abmxzxm,SN Ia,0.038
ZTF22abmicob,SN Ia,0.09
ZTF22abmifhv,SN Ia,0.062
ZTF20aaolusw,SN Ia,0.059
ZTF22ablcybb,SN Ia,0.073
ZTF22abnelse,SN Ia,0.026
ZTF22abjvyib,SN II,0.018
ZTF22abnujbv,SN II,0.008756
ZTF22abmtwml,SN Ia,0.065
ZTF22abjqztl,SN Ia,0.06
ZTF22abnabxg,CV,-1.0
ZTF22abmlesb,CV,-1.0
ZTF22abmcfrc,SN Ia,0.076
ZTF22ablhftq,SN Ia,0.035
ZTF22abkfgrt,SN Ia,0.071
ZTF22abmvmyh,SN Ia,0.08
ZTF22abjpfpl,SN Ia,0.0489
ZTF22abjaqoq,SN Ia,0.058
ZTF22abemcpy,SN Ib/c,0.015
ZTF22abjzktr,SN Ia,0.04
ZTF22abmiohu,SN Ia,0.043
ZTF22abbiwrr,SN II,0.040651
ZTF22abmcono,SN Ia,0.06
ZTF22abmcezf,SN Ia,0.045
ZTF22abcvfgs,SLSN-I,0.1
ZTF22aaynpda,SN Ia,0.025
ZTF22abjafpr,SN Ic-BL,0.05
ZTF22abiozoc,SN Ia,0.088
ZTF22abiymsf,SN Ia,0.09
ZTF22abhsxph,SN IIP,0.026308
ZTF22abkjegi,SN Ia,0.09
ZTF22abiyeae,SN Ia,0.067
ZTF22abipthl,SN Ia,0.1
ZTF22abhencl,SN Ia,0.063
ZTF22abgvnle,SN Ia,0.030958
ZTF22abfyzir,SN Ia,0.053
ZTF22abgheca,Galaxy,0.027
ZTF22abfuwel,SN Ib,0.025
ZTF22abecbbd,SN Ia,0.06
ZTF22abdoehm,SN Ia,0.064
ZTF22aazeagq,SN Ia,0.094
ZTF22abkxbeo,SN Ia-pec,0.0177
ZTF22abiwwyf,SN II,0.02
ZTF22abiqxao,SN Ia,0.061
ZTF22abgepyb,SN Ia,0.064
ZTF22abkaaje,SN Ia,0.07
ZTF22abjhwce,SN Ia,0.061
ZTF22abihtsn,SN Ia,0.05
ZTF20aakxwgy,SN Ia,0.0475
ZTF22abfutmm,SN Ia,0.106
ZTF22abegzdb,SN IIn,0.016
ZTF22abahblc,SN Ia,0.029
ZTF22ablhldn,SN Ia,0.078
ZTF22abivrnq,SN Ia,0.059
ZTF18aawmeiw,SN Ia,0.036
ZTF22abipidm,SN Ia,0.085
ZTF22abitewv,SN Ia,0.061
ZTF22abiflfo,SN Ia,0.087
ZTF22abhcqrr,SN Ia-pec,0.046
ZTF22abfxwkm,SN Ia,0.101
ZTF22abkpkej,SN Ia,0.05
ZTF22abizgac,SN Ia,0.078
ZTF22aazmrpx,SN II,0.0155
ZTF22abhodtl,SN Ia,0.074
ZTF22abhxptt,SN Ia,0.08
ZTF22abhrjld,SN Ia-pec,0.016995
ZTF22abfwxtr,SN II,0.022
ZTF21abwjibi,SN Ia,0.083
ZTF22abjpcjy,SN Ia,0.045
ZTF22abhxptj,SN Ia,0.059
ZTF22abgdjwt,SN Ia,0.083
ZTF22aazuowq,SN Ia,0.066106
ZTF22abkbjsb,SN II,0.0145
ZTF22abhfwmr,SN Ia,0.041
ZTF22abfvxlz,SN Ia,0.117773
ZTF22abgbywx,SN Ia,0.054
ZTF22abfyukg,SN Ia,0.044
ZTF22aavvqyh,TDE,0.095
ZTF22abjagqj,SN Ia,0.034
ZTF22abgibib,SN IIb,0.045
ZTF22abfyrxh,SN Ia,0.034487
ZTF22abfzdkz,SN II,0.01
ZTF22abgbcef,SN Ia,0.08
ZTF22abemaki,SN Ia,0.073
ZTF22aazjiam,SN II,0.07
ZTF22abjeeqt,SN Ia,0.07
ZTF20aaewhin,CV,-1.0
ZTF22abhvyyw,SN Ia,0.06
ZTF22abhldat,SN Ia,0.063
ZTF22abgiayt,SN Ia,0.099
ZTF22abfyynm,SN Ia,0.106
ZTF22abivkuq,SN Ia,0.02473
ZTF22abiwpck,SN Ia,0.042
ZTF22abgyfnv,SN II,0.035741
ZTF22abfyqzz,SN Ia-CSM,0.12
ZTF22abfunyc,SN Ia,0.09
ZTF22abibgsa,SN Ia,0.086
ZTF22abhuvug,SN Ia,0.093
ZTF22abgbbec,SN Ia,0.078
ZTF22abjbvnv,SN Ia,0.02
ZTF22abggmtd,SN Ia,0.093
ZTF22abgcigh,Varstar,0.0
ZTF22abhvfio,SN Ia,0.034
ZTF22abgroeo,SN Ic-BL,0.08
ZTF22abfxmvf,SN Ia,0.09
ZTF22abfvjeg,SN Ia,0.084
ZTF22abfutah,SN II,0.042
ZTF22abghpvo,SN IIb,0.041919
ZTF22abgudql,SN Ia,0.08
ZTF22abfvshc,SN Ia,0.105
ZTF22abgbydx,SN Ia,0.08
ZTF22abfytlh,SN Ia,0.081
ZTF22abgbffy,SN Ia,0.027
ZTF22abfviaz,SN Ia,0.09
ZTF22abftrwv,SN Ia,0.059
ZTF22abfvjky,SN Ia,0.063
ZTF22abbzucj,SN Ia,0.0595
ZTF22abcfics,SN II,0.03
ZTF22abcknjm,SN Ia,0.071
ZTF22abaseoc,SN Ia,0.077
ZTF22abgndif,SN Ia,0.02945
ZTF18aaxgwpl,SN Ia,0.054538
ZTF22abfzaqd,SN Ia,0.063
